id	source	target	cost	delay
0	0	4	24	9
1	4	0	24	9
2	1	2	14	5
3	2	1	14	5
4	14	16	6	9
5	16	14	6	9
6	2	3	25	1
7	3	2	25	1
8	4	5	12	8
9	5	4	12	8
10	11	12	23	4
11	12	11	23	4
12	13	14	30	5
13	14	13	30	5
14	5	6	5	2
15	6	5	5	2
16	11	14	17	5
17	14	11	17	5
18	12	13	22	10
19	13	12	22	10
20	14	17	21	10
21	17	14	21	10
22	17	18	7	4
23	18	17	7	4
24	1	14	15	8
25	14	1	15	8
26	6	7	7	10
27	7	6	7	10
28	9	10	21	6
29	10	9	21	6
30	16	18	19	5
31	18	16	19	5
32	10	14	6	5
33	14	10	6	5
34	14	18	24	2
35	18	14	24	2
36	16	17	1	9
37	17	16	1	9
38	0	19	3	6
39	19	0	3	6
40	0	7	9	10
41	7	0	9	10
42	10	11	23	5
43	11	10	23	5
44	0	12	7	7
45	12	0	7	7
46	6	16	12	10
47	16	6	12	10
48	0	14	1	2
49	14	0	1	2
50	3	4	2	8
51	4	3	2	8
52	15	16	22	2
53	16	15	22	2
54	0	16	11	1
55	16	0	11	1
56	14	15	12	19
57	15	14	12	19
58	7	16	23	15
59	16	7	23	15
60	0	2	3	15
61	2	0	3	15
62	18	19	21	13
63	19	18	21	13
64	0	1	26	19
65	1	0	26	19
66	6	18	30	17
67	18	6	30	17
68	0	18	15	14
69	18	0	15	14
70	8	9	10	12
71	9	8	10	12
72	7	8	15	21
73	8	7	15	21
74	7	18	1	29
75	18	7	1	29
